제목,용량,분류,게시자 ID,게시글 URL,고유번호,채널
긴급. 판타지 애니 액션대작! 중국 역대 1위 !2O19.1O8Op.자체한글자막!,3.2G,일반,존자료,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=29130815,c29130815,위디스크
2020 남산의 부장들 - FHD 이병헌 이성민 곽도원 초고화질 1080p,4.3G,한국영화,hgmg12,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=29201448,c29201448,위디스크
[철없는 아내의 이중생활] 결혼을 해도 첫사랑의 맛을 잊을 수 없는 아내,2.5G,일반,rdmedia,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=25891790,c25891790,위디스크
"[고화질, 한글] 잭 리처 1  Jack Reacher , 2012",3.4G,액션,ftloghey,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=23862958,c23862958,위디스크
한국성인에로영화_k양 비디오 송혜주&유선이 주연,1.2G,한국영화,믹키문노,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=29221851,c29221851,위디스크
[호러]헬레이져 1987 리마스터버젼  Hellraiser.1987.REMASTERED,1.4G,일반,ghdi8010,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=25105468,c25105468,위디스크
[ 변호인 (2013) ] - 송강호. 김영애. 오달수. 곽도원. 임시완,7.5G,한국영화,solluung11,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=29359663,c29359663,위디스크
+(완벽한글자막)+[엠.마.왓.슨][[작은 아씨들]][초고화질],3.0G,일반,클릭디스크,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=29351805,c29351805,위디스크
평점9점[ 연애 소설 ]차태현.손예진.출연 깊은여운이 남는 명작,3.2G,연애,8pwonbinh8,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=29339000,c29339000,위디스크
[한국영화][고화질] 언니  2018  이시영 박세완 이준혁 최진호,3.6G,한국영화,mystman1,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=28426309,c28426309,위디스크
우리말더빙 --- 수 퍼 소 닉 --- 2O2O.O2 1O8Op 초고화질,3.6G,가족,열공중임,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=29352770,c29352770,위디스크
2O2O.O2. 짱구 27기 [ - 신 혼 여 행 허 리 케 인 잃 어 버 린 히 로 시 - ] 1080p.자체자막,2.6G,일반,불성무물,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=29239141,c29239141,위디스크
[ 빅2 - 황금열쇠 대소동 ] 두배로 커진 빅재미 - 악당에게 지면 끝,1.9G,가족,cplay2,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=28733622,c28733622,위디스크
[19금성인호러] 야영장에서 .유줄 . 무삭제. 무자막,1.2G,공포,instead6911,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=22478657,c22478657,위디스크
2020년02월. 초고화질 (( 닥 터 두 리 틀 )) 1080p 자체한글자막,3.2G,일반,돌업로더,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=29350736,c29350736,위디스크
2020. 마고로비X맥그리거 [ [  뻐 wm 오브 쁘레잇 ] ] 한글자막 초고화질,3.1G,일반,핑크퐁업로더,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=29356845,c29356845,위디스크
2O19. ㄱㅓ ㅁㅣ줄ㅇㅔ 걸린 남ㅈㅏ! 모니카벨루치 1O8OP. 자체한글자막!,3.2G,일반,존자료,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=29130773,c29130773,위디스크
2O2O년O3월(완벽한글)[: 짝 은 Oㅏ 씨 들 :]ㅅI얼샤로넌-평점9.15.한글완벽자막,3.0G,일반,꼬꼬업로더,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=29350956,c29350956,위디스크
[ 기생충 (2019) ] - 송강호. 이선균. 조여정. 최우식. 박소담. 봉준호 감독작,5.0G,한국영화,j0iiiyy13,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=29311123,c29311123,위디스크
