검색게시글,유포게시물,유포사이트,게시자id,URL,탐지시간,고유번호,분류,용량
기생충,[ 기생충 (2019) ] - 송강호. 이선균. 조여정. 최우식. 박소담. 봉준호 감독작,위디스크,j0iiiyy13,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=29311123,2020-03-26 15:51:56,c29311123,한국영화,5.0G
-,2160p-[ 기생충 UHD.BluRay _ 초특급화질 ] 조여정 이선균 송강호 최우식 박소담. 행복은 나눌수록 커지잖아요!,위디스크,메뚝이너,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=29242446,2020-03-26 15:51:56,c29242446,한국영화,36G
-,1080p-[ 기 생 충 _ 초특급화질 ] 조여정 이선균 송강호 최우식 박소담. 행복은 나눌수록 커지잖아요! [기생충],위디스크,메뚝이너,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=29097695,2020-03-26 15:51:56,c29097695,한국영화,35G
-,[  iseeyou  ] 아이씨유  최신미개봉작  다락방기생충  반전스릴러공포,위디스크,별밤극장,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=29085749,2020-03-26 15:51:56,c29085749,공포,3.4G
-,[기생충]M 송강호 이선균 최우식 박소담 폐 끼치고 싶진 않았어요,위디스크,ininokok,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=28349234,2020-03-26 15:51:56,c28349234,일반,584M
-,[2160p 4K] 기생충 2019.UHD 블루레이.초고화질.아카데미 작품상 칸영화제 황금종려상 수상작.봉준호 감독작품.송강호.Parasite.2019.2160p.UHD.BluRay.X265-IAMABLE 1080i,위디스크,partyplanu,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=29231545,2020-03-26 15:51:56,c29231545,한국영화,36G
-,[720p] 기생충 Parasite.2019.KOREAN.720p.BluRay.x264.DTS-FGT 봉준호 송강호 이선균 조여정 최우식 박소담 정지소,위디스크,밀라,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=29081530,2020-03-26 15:51:56,c29081530,한국영화,6.5G
-,( 기생충  2019 _ HD1080p )(평점9.0) 송강호.이선균.조여정! 봉준호 감독! 칸영화제 황금종려상! 기셍충,위디스크,아잉죠앙,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=29244052,2020-03-26 15:51:56,c29244052,한국영화,5.0G
-,[1080p] 기생충 Parasite.2019.KOREAN.1080p.BluRay.x264.TrueHD.7.1.Atmos-FGT 봉준호 송강호 이선균 조여정 최우식 박소담 정지소,위디스크,밀라,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=29081602,2020-03-26 15:51:56,c29081602,한국영화,15G
-,오랜 잠에서 깨어났다! [ ㅡ ㄱ I . 생 . 충 ㅡ ] 초고화질 한글완벽자막 (1O8OP),위디스크,쭈꾸미업,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=23949935,2020-03-26 15:51:56,c23949935,공포,3.0G
-,[1080p] 기생충 Parasite.2019.KOREAN.1080p.BluRay.x264.DTS-FGT 봉준호 송강호 이선균 조여정 최우식 박소담 정지소,위디스크,밀라,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=29081568,2020-03-26 15:51:56,c29081568,한국영화,12G
-,[1080p] 기생충 Parasite.2019.KOREAN.1080p.BluRay.x264.DTS-FGT 봉준호 송강호 이선균 조여정 최우식 박소담 정지소,위디스크,밀라,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=29081568,2020-03-26 15:51:56,c29081568,한국영화,12G
-,[1080p] 기생충 PARASITE.2019.1080p.FHDRip.H264.AAC-NonDRM 봉준호 송강호 이선균 조여정 최우식 박소담 정지소,위디스크,밀라,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=29081544,2020-03-26 15:51:56,c29081544,한국영화,5.0G
-,[넷플] O6월. 몸속에 기생충이.. 음흉한 유머 [- 퍼. 펙. 션 -] 1O8Op GO화질. 한글자막!,위디스크,존자료,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=28521116,2020-03-26 15:51:56,c28521116,일반,2.9G
-,[넷플] O6월. 몸속에 기생충이.. 음흉한 유머 [- 퍼. 펙. 션 -] 1O8Op GO화질. 한글자막!,위디스크,니자료,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=28533751,2020-03-26 15:51:56,c28533751,일반,2.9G
-,[넷플] O6월. 몸속에 기생충이.. 음흉한 유머 [- 퍼. 펙. 션 -] 1O8Op GO화질. 한글자막!,위디스크,열린영화,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=28627576,2020-03-26 15:51:56,c28627576,일반,2.9G
-,[넷플] O6월. 몸속에 기생충이.. 음흉한 유머 [- 퍼. 펙. 션 -] 1O8Op GO화질. 한글자막!,위디스크,열린영화,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=28627576,2020-03-26 15:51:56,c28627576,일반,2.9G
-,(19)[실화이야기]아카데미 기생충 경쟁작 디카프리오 브래드피트 주연!![원스 ㅇㅓ뽄 ㅌㅏ임 인 미국]초고화질 완벽자막,위디스크,fusrnr,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=29197829,2020-03-26 15:51:56,c29197829,일반,2.9G
-,(19)[넷플릭스]아카데미 기생충 경쟁작 마틴 스코세이지 감독[ㅇㅏㅇㅣ리수ㅣ 맨]초고화질 완벽자막,위디스크,fusrnr,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=29173944,2020-03-26 15:51:56,c29173944,일반,4.6G
-,2019 기생충 - FHD 송강호 이선균 조여정 초고화질 1080p,위디스크,hgmg12,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=28500661,2020-03-26 15:51:56,c28500661,일반,3.8G
-,송강호 봉준호 <- 기 생 충 -> 행복은 나눌수록 커지잖아요,위디스크,일본여포,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=28348597,2020-03-26 15:51:56,c28348597,일반,5.0G
-,[ 기생충 (2019) ] - 송강호. 이선균. 조여정. 최우식. 박소담. 봉준호 감독작,위디스크,solluung11,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=29348190,2020-03-26 15:51:56,c29348190,한국영화,5.0G
-,[ 기 생 충 ] 1080p 초고화질 ( PARASITE ) 송강호 이선균 조여정 최우식 박소담 이정은,위디스크,남궁초원,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=29259009,2020-03-26 15:51:56,c29259009,한국영화,5.0G
-,[기생충]HD 송강호 이선균 조여정 최우식 박소담,위디스크,chakmm,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=28372702,2020-03-26 15:51:56,c28372702,일반,1.8G
-,[기생충]HD 봉준호 감독 충격 행복은 나눌수록 커지잖아요,위디스크,chakmm,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=28372695,2020-03-26 15:51:56,c28372695,일반,1.8G
-,02월. (해외상영버전 뉴버전) (( ---ㄱ ㅣ 생 충--- )) 1080p초고화질,위디스크,샛별미소,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=29344120,2020-03-26 15:51:56,c29344120,일반,3.1G
-,[기생충]HD 봉준호 칸영화제 황금종려상 송강호 이선균,위디스크,ininokok,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=28349227,2020-03-26 15:51:56,c28349227,일반,3.3G
-,[기생충]영어 자막,위디스크,사람의노래,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=29339484,2020-03-26 15:51:56,c29339484,한국영화,1.7G
-,[기생충]두 가족의 흥미로운 앙상블,위디스크,사람의노래,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=29338489,2020-03-26 15:51:56,c29338489,한국영화,2.8G
-,[ 기생충 ] 행복은 나눌수록 커지잖아요 - 2019 송강호이선균,위디스크,ruli,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=28527985,2020-03-26 15:51:56,c28527985,일반,3.0G
-,[ 기생충 ] 1080p. 송강호 이선균 조여정 최우식 박소담 감독봉준호 2019,위디스크,kdysouma,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=29322433,2020-03-26 15:51:56,c29322433,한국영화,5.0G
